Race,Date,WPM,Accuracy,Text,Outcome
6960.,2017-11-06 20:14:14,173.95,98%,266,Win (1 of 2)
6959.,2017-11-06 20:13:30,157.86,97%,3621133,Win (1 of 3)
6958.,2017-11-06 20:12:31,199.48,100%,3550196,Win (1 of 2)
6957.,2017-11-06 20:11:58,159.41,98%,3622294,Win (1 of 3)
6956.,2017-11-06 20:11:20,176.46,99%,3640995,Win (1 of 3)
6955.,2017-11-06 20:10:10,164.07,98%,3550189,Win (1 of 5)
6954.,2017-11-06 20:08:57,134.89,98%,3640629,Win (1 of 3)
6953.,2017-11-06 20:05:40,169.63,98%,3641423,Win (1 of 3)
6952.,2017-11-06 20:04:39,156.93,99%,3620741,Win (1 of 3)
6951.,2017-11-06 20:03:34,186.77,99%,3100049,Win (1 of 5)
6950.,2017-11-06 20:02:53,163.72,99%,3550128,Win (1 of 4)
6949.,2017-11-06 19:59:59,178.13,99%,492,Win (1 of 4)
6948.,2017-11-06 19:59:35,157.69,98%,3810236,Win (1 of 5)
6947.,2017-11-06 19:59:03,178.29,98%,3622170,Win (1 of 5)
6946.,2017-11-06 19:58:23,168.88,99%,3622288,Win (1 of 5)
6945.,2017-11-06 19:56:51,123.00,98%,3550194,No win (2 of 2)
6944.,2017-11-06 19:55:57,123.19,97%,3641173,No win (4 of 4)
6943.,2017-11-06 19:54:26,169.77,99%,119,Win (1 of 4)
6942.,2017-11-06 19:53:53,182.02,99%,155,Win (1 of 2)
6941.,2017-11-06 19:53:10,164.78,98%,3810526,No win (2 of 4)
6940.,2017-11-06 19:52:24,187.95,99%,3550143,Win (1 of 5)
6939.,2017-11-06 19:51:52,191.54,100%,3810605,Win (1 of 3)
6938.,2017-11-06 19:51:12,141.14,98%,10,Win (1 of 4)
6937.,2017-11-06 19:50:24,159.68,98%,3810022,Win (1 of 3)
6936.,2017-11-06 19:49:29,153.11,98%,3811253,Win (1 of 4)
6935.,2017-11-06 19:48:53,154.81,97%,3810126,Win (1 of 5)
6934.,2017-11-06 19:48:21,150.22,98%,3640131,Win (1 of 4)
6933.,2017-11-06 19:47:48,193.62,100%,119,Win (1 of 4)
6932.,2017-11-06 19:47:20,184.46,100%,3810097,Win (1 of 3)
6931.,2017-11-06 19:46:24,175.44,99%,17,Win (1 of 4)
6930.,2017-11-06 19:45:13,144.11,98%,629,No win (2 of 3)
6929.,2017-11-06 19:44:15,196.95,99%,3640336,Win (1 of 3)
6928.,2017-11-06 19:43:34,141.20,96%,3100107,No win (2 of 4)
6927.,2017-11-06 14:56:16,263.52,100%,3640556,Win (1 of 2)
6926.,2017-11-06 14:55:15,241.12,100%,3640556,No win (2 of 2)
6925.,2017-11-06 14:54:39,199.83,100%,699,No win (2 of 2)
6924.,2017-11-06 14:53:30,230.89,100%,3810705,Win (1 of 2)
6923.,2017-11-04 18:18:47,227.51,100%,3641191,Win (1 of 2)
6922.,2017-11-04 16:25:11,171.44,99%,544,Win (1 of 3)
6921.,2017-11-02 22:35:55,173.45,99%,3550277,Win (1 of 3)
6920.,2017-11-02 22:16:36,231.11,100%,3622461,Win (1 of 3)
6919.,2017-11-02 22:13:42,186.77,99%,3810126,Win (1 of 2)
6918.,2017-11-02 22:13:18,173.59,98%,3810126,Win (1 of 3)
6917.,2017-11-02 22:12:41,178.41,99%,3621049,Win (1 of 4)
6916.,2017-11-02 22:12:00,165.97,99%,3810783,Win (1 of 3)
6915.,2017-11-02 22:10:29,176.07,98%,3810903,Win (1 of 3)
6914.,2017-11-02 22:09:11,161.62,99%,3810802,Win (1 of 3)
6913.,2017-11-02 22:08:28,188.05,100%,3100035,Win (1 of 2)
